Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD DISTRITAL DE LA MOLINA,169250730,285096730,225905807,145116214,102850496,93317341,85345931,32.7,2026,32.7,LA MOLINA,191779389
MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,219999735,264495736,230794478,154869685,152621385,99940926,96833030,37.8,2026,37.8,SAN MARTIN DE PORRES,164554810
MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,177279996,250844695,216256481,207855597,206802754,203254809,203227002,81.0,2024,81.0,SAN MARTIN DE PORRES,47589886
MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,221654682,245437917,230209443,211420446,207429864,206558651,206543654,84.2,2023,84.2,ATE,38879266
MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,175274773,242647349,239229546,227726633,226811781,221186132,221186132,91.2,2025,91.2,SAN MARTIN DE PORRES,21461217
MUNICIPALIDAD DISTRITAL DE LA VICTORIA,231695526,240348602,175587861,158563644,132235330,94079092,92363653,39.1,2026,39.1,LA VICTORIA,146269510
MUNICIPALIDAD DISTRITAL DE COMAS,185508858,215693010,156911001,133645733,107319413,92404469,82604025,42.8,2026,42.8,COMAS,123288541
MUNICIPALIDAD DISTRITAL DE LA VICTORIA,165866480,213531884,206863521,202161604,201877755,200989544,200989544,94.1,2025,94.1,LA VICTORIA,12542340
MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO,141310684,212564737,201917023,199346068,199209206,197114668,197107179,92.7,2025,92.7,VILLA MARIA DEL TRIUNFO,15450069
MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,160435375,211337311,157295191,137930749,104332411,74251273,73496467,35.1,2026,35.1,VILLA EL SALVADOR,137086038
MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,144996235,203605168,186218037,178763775,177975746,173317628,173317628,85.1,2024,85.1,VILLA EL SALVADOR,30287540
MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO,143070838,202388317,162065182,147724121,146315041,143791766,143791766,71.0,2024,71.0,VILLA MARIA DEL TRIUNFO,58596551
MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO,104346806,202286449,119911521,119697596,119695396,109129014,108960393,53.9,2023,53.9,VILLA MARIA DEL TRIUNFO,93157435
MUNICIPALIDAD DISTRITAL DE COMAS,162688333,196191759,192221617,190023529,189554299,187612120,187611577,95.6,2025,95.6,COMAS,8579639
MUNICIPALIDAD DISTRITAL DE CHORRILLOS,177646471,194742269,187634463,184616290,183122420,165290595,165290595,84.9,2024,84.9,CHORRILLOS,29451674
MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,141557372,188544540,178076775,174263979,165338032,165285713,165253645,87.7,2023,87.7,SAN MARTIN DE PORRES,23258827
MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,145058631,186748485,169576643,167565001,167397113,166331297,166331297,89.1,2025,89.1,VILLA EL SALVADOR,20417188
MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,109294991,184933214,144518484,131746095,128606850,123953718,123909261,67.0,2023,67.0,VILLA EL SALVADOR,60979496
MUNICIPALIDAD DISTRITAL DE COMAS,152788586,181212507,169728332,164040398,158242718,158190612,158180158,87.3,2024,87.3,COMAS,23021895
MUNICIPALIDAD DISTRITAL DE CHORRILLOS,172236989,180425841,126364715,107204162,86979240,72566702,69303308,40.2,2026,40.2,CHORRILLOS,107859139
MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,132162759,179455898,177343955,161101045,155837756,155818698,155775655,86.8,2024,86.8,PUENTE PIEDRA,23637200
MUNICIPALIDAD DISTRITAL DE SAN BORJA,170133062,177740438,153381528,139681184,95341934,72298283,70679111,40.7,2026,40.7,SAN BORJA,105442155
